location,1st,Now,Day
Andorra,2022-08-01,2023-01-26,178
Argentina,2022-06-03,2023-01-26,237
Aruba,2022-09-01,2023-01-26,147
Austria,2022-06-01,2023-01-26,239
Bahamas,2022-07-01,2023-01-26,209
Barbados,2022-08-01,2023-01-26,178
Belgium,2022-08-01,2023-01-26,178
Benin,2022-07-01,2023-01-26,209
Bermuda,2022-08-01,2023-01-26,178
Bolivia,2022-08-03,2023-01-26,176
Bosnia and Herzegovina,2022-08-01,2023-01-26,178
Brazil,2022-07-01,2023-01-26,209
Bulgaria,2022-07-01,2023-01-26,209
Cameroon,2022-07-01,2023-01-26,209
Canada,2022-06-03,2023-01-26,237
Central African Republic,2022-05-01,2023-01-26,270
Chile,2022-07-01,2023-01-26,209
Colombia,2022-07-01,2023-01-26,209
Congo,2022-06-01,2023-01-26,239
Costa Rica,2022-08-01,2023-01-26,178
Croatia,2022-07-01,2023-01-26,209
Cuba,2022-09-01,2023-01-26,147
Curaçao,2022-09-01,2023-01-26,147
Cyprus,2022-08-03,2023-01-26,176
Czech Republic,2022-06-01,2023-01-26,239
Democratic Republic of the Congo,2022-07-01,2023-01-26,209
Denmark,2022-06-01,2023-01-26,239
Dominican Republic,2022-07-07,2023-01-26,203
Ecuador,2022-07-06,2023-01-26,204
El Salvador,2022-09-01,2023-01-26,147
Estonia,2022-07-01,2023-01-26,209
Finland,2022-06-01,2023-01-26,239
France,2022-06-01,2023-01-26,239
Georgia,2022-07-01,2023-01-26,209
Germany,2022-06-01,2023-01-26,239
Ghana,2022-07-01,2023-01-26,209
Gibraltar,2022-06-02,2023-01-26,238
Greece,2022-06-09,2023-01-26,231
Greenland,2022-09-01,2023-01-26,147
Guadeloupe,2022-08-05,2023-01-26,174
Guatemala,2022-08-04,2023-01-26,175
Guyana,2022-09-01,2023-01-26,147
Honduras,2022-09-01,2023-01-26,147
Hungary,2022-06-01,2023-01-26,239
Iceland,2022-06-09,2023-01-26,231
Ireland,2022-06-01,2023-01-26,239
Israel,2022-06-01,2023-01-26,239
Italy,2022-06-01,2023-01-26,239
Jamaica,2022-07-08,2023-01-26,202
Japan,2022-05-01,2023-01-26,270
Latvia,2022-06-03,2023-01-26,237
Liberia,2022-08-01,2023-01-26,178
Lithuania,2022-08-04,2023-01-26,175
Luxembourg,2022-07-01,2023-01-26,209
Malta,2022-06-01,2023-01-26,239
Martinique,2022-08-01,2023-01-26,178
Mexico,2022-06-03,2023-01-26,237
Moldova,2022-08-09,2023-01-26,170
Monaco,2022-09-01,2023-01-26,147
Montenegro,2022-08-01,2023-01-26,178
Mozambique,2023-01-01,2023-01-26,25
Netherlands,2022-06-01,2023-01-26,239
Nigeria,2022-05-01,2023-01-26,270
Norway,2022-06-01,2023-01-26,239
Panama,2022-07-06,2023-01-26,204
Paraguay,2022-09-01,2023-01-26,147
Peru,2022-07-01,2023-01-26,209
Poland,2022-07-01,2023-01-26,209
Portugal,2022-06-01,2023-01-26,239
Puerto Rico,2022-07-01,2023-01-26,209
Romania,2022-07-01,2023-01-26,209
Russia,2022-08-01,2023-01-26,178
Collectivity of Saint Martin,2022-08-04,2023-01-26,175
San Marino,2023-01-01,2023-01-26,25
Serbia,2022-07-01,2023-01-26,209
Slovakia,2022-07-07,2023-01-26,203
Slovenia,2022-06-01,2023-01-26,239
South Africa,2022-07-01,2023-01-26,209
Spain,2022-06-01,2023-01-26,239
Sweden,2022-06-01,2023-01-26,239
Switzerland,2022-06-01,2023-01-26,239
Turkey,2022-07-01,2023-01-26,209
Ukraine,2023-01-01,2023-01-26,25
United Kingdom,2022-05-07,2023-01-26,264
United States,2022-06-03,2023-01-26,237
Uruguay,2022-08-01,2023-01-26,178
Venezuela,2022-07-01,2023-01-26,209
