iso_code,continent,location,Obesity_rate
ABW,North America,Aruba,
BMU,North America,Bermuda,
 , ,Bonaire Sint Eustatius and Saba,
VGB,North America,British Virgin Islands,
CYM,North America,Cayman Islands,
CUW,North America,Curacao,
 , ,Faeroe Islands,
 , ,Falkland Islands,
 , ,French Polynesia,
 , ,Gibraltar,
 , ,Greenland,
GUM,Oceania,Guam,
GGY,Europe,Guernsey,
IMN,Europe,Isle of Man,
JEY,Europe,Jersey,
OWID_KOS,Europe,Kosovo,
LIE,Europe,Liechtenstein,
MKD,Europe,Macedonia,
MCO,Europe,Monaco,
MSR,North America,Montserrat,
 , ,New Caledonia,
PSE,Asia,Palestine,
PRI,North America,Puerto Rico,
SMR,Europe,San Marino,
SXM,North America,Sint Maarten (Dutch part),
SYR,Asia,Syria,
TWN,Asia,Taiwan,
TCA,North America,Turks and Caicos Islands,
VIR,North America,United States Virgin Islands,
 , ,Vatican,
 , ,Western Sahara,
 , ,World,
ZMB,Africa,Zambia,
 , ,Vietnam,2.1
BGD,Asia,Bangladesh,3.6
 , ,Timor,3.8
 , ,Cambodia,3.9
IND,Asia,India,3.9
 , ,Nepal,4.1
JPN,Asia,Japan,4.3
ETH,Africa,Ethiopia,4.5
KOR,Asia,South Korea,4.7
 , ,Eritrea,5
LKA,Asia,Sri Lanka,5.2
 , ,Laos,5.3
 , ,Madagascar,5.3
 , ,Uganda,5.3
BDI,Africa,Burundi,5.4
AFG,Asia,Afghanistan,5.5
NER,Africa,Niger,5.5
BFA,Africa,Burkina Faso,5.6
MWI,Africa,Malawi,5.8
MMR,Asia,Myanmar,5.8
 , ,Rwanda,5.8
 , ,Chad,6.1
SGP,Asia,Singapore,6.1
CHN,Asia,China,6.2
 , ,Bhutan,6.4
PHL,Asia,Philippines,6.4
COD,Africa,Democratic Republic of Congo,6.7
IDN,Asia,Indonesia,6.9
KEN,Africa,Kenya,7.1
 , ,Mozambique,7.2
 , ,Central African Republic,7.5
GIN,Africa,Guinea,7.7
 , ,Comoros,7.8
GNQ,Africa,Equatorial Guinea,8
AGO,Africa,Angola,8.2
SOM,Africa,Somalia,8.3
TZA,Africa,Tanzania,8.4
TGO,Africa,Togo,8.4
 , ,Maldives,8.6
MLI,Africa,Mali,8.6
PAK,Asia,Pakistan,8.6
 , ,South Sudan,8.6
SDN,Africa,Sudan,8.6
SLE,Africa,Sierra Leone,8.7
SEN,Africa,Senegal,8.8
NGA,Africa,Nigeria,8.9
 , ,Guinea-Bissau,9.5
BEN,Africa,Benin,9.6
COG,Africa,Congo,9.6
LBR,Africa,Liberia,9.9
THA,Asia,Thailand,10
CIV,Africa,Cote d'Ivoire,10.3
GMB,Africa,Gambia,10.3
MUS,Africa,Mauritius,10.8
GHA,Africa,Ghana,10.9
CMR,Africa,Cameroon,11.4
CPV,Africa,Cape Verde,11.8
 , ,Sao Tome and Principe,12.4
MRT,Africa,Mauritania,12.7
DJI,Africa,Djibouti,13.5
 , ,Seychelles,14
BRN,Asia,Brunei,14.1
 , ,Tajikistan,14.2
GAB,Africa,Gabon,15
