,location,iso_code,date,total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed,new_cases_per_million,total_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,CFR,GHSI,WGI,ï..iso_code,continent,Obesity_rate,RS
84,United States,USA,5/15/2023,30188,42,0,0,4.86,0,0,89.237,0.014,0,0.12415,0,0.13912813,83.5,1.04,USA,North America,36.2,87
12,Brazil,BRA,5/15/2023,10929,16,0,0,1.29,0,0,50.759,0.006,0,0.07431,0,0.146399488,59.7,0.39,BRA,South America,22.1,NA
78,Spain,ESP,5/15/2023,7551,3,0,0,0,0,0,158.772,0,0,0.06308,0,0.039729837,65.9,1.06,ESP,Europe,23.8,NA
33,France,FRA,5/15/2023,4146,0,0,0,0,0,0,61.139,0,0,0,0,0,68.2,1.18,FRA,Europe,21.6,NA
19,Colombia,COL,5/15/2023,4090,0,0,0,0,0,0,78.845,0,0,0,0,0,44.2,0.19,COL,South America,22.3,NA
55,Mexico,MEX,5/15/2023,4010,26,0,0,0,0,0,31.45,0,0,0.20391,0,0.648379052,57.6,-0.01,MEX,North America,28.9,NA
66,Peru,PER,5/15/2023,3800,20,0,0,0,0,0,111.602,0,0,0.58738,0,0.526315789,49.2,0.23,PER,South America,19.47,NA
83,United Kingdom,GBR,5/15/2023,3742,0,1,0,0.14,0,0.015,55.43,0.002,0,0,0,0,77.9,1.38,GBR,Europe,27.8,NA
35,Germany,DEU,5/15/2023,3691,0,0,0,0,0,0,44.273,0,0,0,0,0,66,1.42,DEU,Europe,22.3,NA
15,Canada,CAN,5/15/2023,1484,0,0,0,0,0,0,38.591,0,0,0,0,0,75.3,1.52,CAN,North America,29.4,93
17,Chile,CHL,5/15/2023,1441,2,0,0,0,0,0,73.506,0,0,0.10202,0,0.138792505,58.3,1.05,CHL,South America,28,NA
