location,WGI
Norway,1.73
New Zealand,1.62
Switzerland,1.62
Denmark,1.61
Finland,1.61
Sweden,1.61
Netherlands,1.6
Luxembourg,1.57
Canada,1.52
Australia,1.43
Germany,1.42
Iceland,1.41
Belgium,1.4
Austria,1.38
United Kingdom,1.38
Ireland,1.32
Liechtenstein,1.32
Aruba,1.31
French Polynesia,1.31
Greenland,1.31
Jersey,1.31
Estonia,1.21
Uruguay,1.21
Portugal,1.2
France,1.18
San Marino,1.15
Costa Rica,1.14
Barbados,1.12
Malta,1.12
Andorra,1.07
Spain,1.06
Chile,1.05
Italy,1.05
Cyprus,1.04
United States,1.04
Japan,1.02
Cape Verde,1
Slovenia,0.99
Taiwan,0.98
Czech Republic,0.93
Lithuania,0.92
Saint Kitts and Nevis,0.9
Saint Vincent and the Grenadines,0.88
Slovakia,0.88
Greece,0.86
Saint Lucia,0.86
Dominica,0.81
Latvia,0.81
Bahamas,0.8
Mauritius,0.76
Poland,0.72
Monaco,0.66
South Africa,0.66
Israel,0.65
Antigua and Barbuda,0.62
Jamaica,0.62
Ghana,0.58
Panama,0.58
Argentina,0.57
Trinidad and Tobago,0.57
Vatican,0.54
Grenada,0.53
Croatia,0.5
Cayman Islands,0.49
Namibia,0.49
Puerto Rico,0.49
Botswana,0.47
Romania,0.46
Belize,0.45
Brazil,0.39
India,0.38
Timor,0.34
Bulgaria,0.32
Hungary,0.32
Suriname,0.32
Benin,0.27
Guyana,0.26
Mongolia,0.26
Georgia,0.25
Senegal,0.24
Peru,0.23
Fiji,0.22
Albania,0.21
Seychelles,0.21
Tunisia,0.21
Colombia,0.19
Indonesia,0.18
Sao Tome and Principe,0.16
Dominican Republic,0.14
Lesotho,0.08
Montenegro,0.08
Bhutan,0.06
Paraguay,0.05
El Salvador,0.04
Papua New Guinea,0.04
Philippines,0.04
Ecuador,0.03
Sri Lanka,0.01
Serbia,0
Macedonia,-0.01
Mexico,-0.01
Ukraine,-0.01
Bolivia,-0.04
Burkina Faso,-0.04
Liberia,-0.04
Malawi,-0.06
Singapore,-0.06
Malaysia,-0.08
Armenia,-0.11
Moldova,-0.11
Kosovo,-0.12
Nepal,-0.13
Sierra Leone,-0.18
Gambia,-0.2
Cote d'Ivoire,-0.22
Bosnia and Herzegovina,-0.24
Madagascar,-0.31
Mali,-0.31
Zambia,-0.32
Guatemala,-0.34
Kenya,-0.36
Tanzania,-0.36
Kyrgyzstan,-0.37
Nigeria,-0.41
Comoros,-0.44
Mozambique,-0.47
Lebanon,-0.5
Honduras,-0.51
Niger,-0.58
Kuwait,-0.59
Maldives,-0.66
Morocco,-0.66
Guinea-Bissau,-0.67
Uganda,-0.67
Jordan,-0.7
Bangladesh,-0.73
Togo,-0.74
Guinea,-0.75
Haiti,-0.75
Pakistan,-0.8
Turkey,-0.83
Mauritania,-0.85
Myanmar,-0.89
Angola,-0.92
Gabon,-0.95
Algeria,-0.98
Afghanistan,-0.99
Iraq,-0.99
Thailand,-1.01
Oman,-1.03
Russia,-1.06
Nicaragua,-1.08
Cameroon,-1.1
United Arab Emirates,-1.11
Rwanda,-1.13
Zimbabwe,-1.13
Ethiopia,-1.16
Kazakhstan,-1.17
Congo,-1.18
Central African Republic,-1.19
Qatar,-1.2
Cambodia,-1.22
Egypt,-1.28
Iran,-1.32
Swaziland,-1.34
Belarus,-1.35
Djibouti,-1.35
Bahrain,-1.41
Venezuela,-1.41
Cuba,-1.44
Chad,-1.45
China,-1.45
Vietnam,-1.45
Azerbaijan,-1.5
Democratic Republic of Congo,-1.51
Libya,-1.52
Uzbekistan,-1.62
Saudi Arabia,-1.64
Burundi,-1.65
Tajikistan,-1.69
Laos,-1.74
Yemen,-1.75
Somalia,-1.83
Sudan,-1.84
Equatorial Guinea,-1.86
Syria,-1.96
South Sudan,-1.98
Eritrea,-2.18
South Korea,-2.2
Anguilla,0
Bermuda,0
Bonaire Sint Eustatius and Saba,0
British Virgin Islands,0
Brunei,0
Curacao,0
Faeroe Islands,0
Falkland Islands,0
Gibraltar,0
Guam,0
Guernsey,0
Isle of Man,0
Montserrat,0
New Caledonia,0
Northern Mariana Islands,0
Palestine,0
Sint Maarten (Dutch part),0
Turks and Caicos Islands,0
United States Virgin Islands,0
Western Sahara,0
